project_name,project_owner,project_creation_date,project_id,project_last_modif_date,project_xmi,project_type,project_downloaded,diagram_project_id,diagram_id,diagram_name,diagram_kind,diagram_jpeg_link,diagram_number_of_elements
KONECTA,,1652232406188,_bBO-wNDJEeyrwKsD8J5mAw,1656517879477,https://app.genmymodel.com/api/projects/_bBO-wNDJEeyrwKsD8J5mAw/xmi,RDS,No,,,,,,
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg-sNqSEeyR_KDGOPNL5w,ACTSCRex,ClassDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg-sNqSEeyR_KDGOPNL5w/jpeg,54
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg_HdqSEeyR_KDGOPNL5w,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg_HdqSEeyR_KDGOPNL5w/jpeg,0
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg_bNqSEeyR_KDGOPNL5w,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg_bNqSEeyR_KDGOPNL5w/jpeg,0
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg_b9qSEeyR_KDGOPNL5w,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg_b9qSEeyR_KDGOPNL5w/jpeg,0
INS vaje,,1650351421888,_6hEcAL-tEeySNfBKdUOsxw,1656514455766,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/xmi,UML,Yes,_6hEcAL-tEeySNfBKdUOsxw,_6hFDEr-tEeySNfBKdUOsxw,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/diagrams/_6hFDEr-tEeySNfBKdUOsxw/jpeg,23
INS vaje,,1650351421888,_6hEcAL-tEeySNfBKdUOsxw,1656514455766,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/xmi,UML,Yes,_6hEcAL-tEeySNfBKdUOsxw,_G78l4aNuEDqQN4hB3QXz-w,CD Hotel,ClassDiagram,https://app.genmymodel.com/api/projects/_6hEcAL-tEeySNfBKdUOsxw/diagrams/_G78l4aNuEDqQN4hB3QXz-w/jpeg,396
teste,,1653518458721,_vx79ENx7EeyR_KDGOPNL5w,1656512521434,https://app.genmymodel.com/api/projects/_vx79ENx7EeyR_KDGOPNL5w/xmi,BPMN2,No,,,,,,
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_eL3mk2MfEeyzq6ra3GZCdA,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_eL3mk2MfEeyzq6ra3GZCdA/jpeg,512
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_t9AtUEVNEDqR8_K8a0j-kg,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_t9AtUEVNEDqR8_K8a0j-kg/jpeg,394
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_bmH6IFanEDqHK9mNIcZlHQ,usecase-diagram-2,UsecaseDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_bmH6IFanEDqHK9mNIcZlHQ/jpeg,40
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_EnNU4Z1UEDqal-PyDfoLKA,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_EnNU4Z1UEDqal-PyDfoLKA/jpeg,124
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_Z-sNQdKxEDqJsuvUCI0x7Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_Z-sNQdKxEDqJsuvUCI0x7Q/jpeg,115
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_Q3Db4dLIEDqm7fn-T0XDag,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_Q3Db4dLIEDqm7fn-T0XDag/jpeg,97
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_fRSbYdLJEDqm7fn-T0XDag,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_fRSbYdLJEDqm7fn-T0XDag/jpeg,170
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_3ajPQNNqEDq-P9LfSy063Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_3ajPQNNqEDq-P9LfSy063Q/jpeg,88
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_ONIZwdNsEDq-P9LfSy063Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_ONIZwdNsEDq-P9LfSy063Q/jpeg,140
diplTest,,1640174736249,_eL3mkGMfEeyzq6ra3GZCdA,1656511293162,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/xmi,UML,Yes,_eL3mkGMfEeyzq6ra3GZCdA,_T-V-4NN2EDq-P9LfSy063Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_eL3mkGMfEeyzq6ra3GZCdA/diagrams/_T-V-4NN2EDq-P9LfSy063Q/jpeg,206
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_dAkUQ4BvEeyiydZsM2RdLg,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_dAkUQ4BvEeyiydZsM2RdLg/jpeg,116
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_4uJd8GNEEDqF3qXdL_VxEg,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_4uJd8GNEEDqF3qXdL_VxEg/jpeg,0
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_8DZigGNEEDqF3qXdL_VxEg,usecase-diagram-2,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_8DZigGNEEDqF3qXdL_VxEg/jpeg,47
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_jFRUUGQxEDqF3qXdL_VxEg,usecase-diagram-3,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_jFRUUGQxEDqF3qXdL_VxEg/jpeg,74
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_BVYAUGQzEDqF3qXdL_VxEg,usecase-diagram-4,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_BVYAUGQzEDqF3qXdL_VxEg/jpeg,98
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,__bs3AGQ0EDqF3qXdL_VxEg,usecase-diagram-5,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/__bs3AGQ0EDqF3qXdL_VxEg/jpeg,32
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_irK1cGQ1EDqF3qXdL_VxEg,usecase-diagram-6,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_irK1cGQ1EDqF3qXdL_VxEg/jpeg,22
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_E2TpEGQ2EDqF3qXdL_VxEg,usecase-diagram-7,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_E2TpEGQ2EDqF3qXdL_VxEg/jpeg,85
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_VbL_MK1JEDqRpuqJh3WKsg,usecase-diagram-8,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_VbL_MK1JEDqRpuqJh3WKsg/jpeg,7
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_i9zXkK21EDqRpuqJh3WKsg,usecase-diagram-9,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_i9zXkK21EDqRpuqJh3WKsg/jpeg,55
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_R1iH4bBOEDqIAJh3EtwYJQ,usecase-diagram-10,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_R1iH4bBOEDqIAJh3EtwYJQ/jpeg,37
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_bjE_sbBYEDqIAJh3EtwYJQ,usecase-diagram-11,UsecaseDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_bjE_sbBYEDqIAJh3EtwYJQ/jpeg,52
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_BwPksMF4EDqKxbwXg5ZVXw,deployment-diagram,DeploymentDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_BwPksMF4EDqKxbwXg5ZVXw/jpeg,39
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_ijQqIIW0EDqK1qn8uv_Wlg,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_ijQqIIW0EDqK1qn8uv_Wlg/jpeg,12
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_QpcvQbBOEDqIAJh3EtwYJQ,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_QpcvQbBOEDqIAJh3EtwYJQ/jpeg,0
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_AsaXQMHHEDqKxbwXg5ZVXw,Authentification seq,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_AsaXQMHHEDqKxbwXg5ZVXw/jpeg,51
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_g2lGwMHJEDqKxbwXg5ZVXw,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_g2lGwMHJEDqKxbwXg5ZVXw/jpeg,22
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_dH-4oMHKEDqKxbwXg5ZVXw,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_dH-4oMHKEDqKxbwXg5ZVXw/jpeg,80
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_6BioMMTbEDqCQ9XUvvH5_A,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_6BioMMTbEDqCQ9XUvvH5_A/jpeg,152
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,1656511105462,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/xmi,UML,Yes,_dAkUQIBvEeyiydZsM2RdLg,_KKRXkcTiEDqCQ9XUvvH5_A,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_dAkUQIBvEeyiydZsM2RdLg/diagrams/_KKRXkcTiEDqCQ9XUvvH5_A/jpeg,59
PFE Project Monitoring,,1643397671812,_dAkUQIBvEeyiydZsM2RdLg,16565111